(848.46472168-35.8771400452j);(309.823944092-84.7626571655j);(2.57731254741+0.589311198509j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
(841.771606445-45.0016288757j);(314.317077637-74.121711731j);(2.56899709501+0.462643755572j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
(842.93182373-49.8421173096j);(316.147674561-68.7256164551j);(2.57867352924+0.402909212603j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
(840.951416016-57.8495635986j);(316.225952148-59.7973403931j);(2.60092704206+0.308889752437j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
(840.964599609-59.2855148315j);(318.976837158-53.6739883423j);(2.5942635049+0.250673230695j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
(839.22253418-61.173122406j);(319.886230469-49.4720687866j);(2.59110386469+0.209493688187j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
(839.515014648-65.3372650146j);(318.895263672-45.8934440613j);(2.60804313712+0.170447237699j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
(838.095947266-66.0149078369j);(322.406524658-45.2714614868j);(2.57743266711+0.157159461772j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
(836.731079102-69.8316497803j);(321.827606201-41.6376914978j);(2.58474318142+0.117426500028j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
(836.439941406-69.7882766724j);(324.020263672-40.2780914307j);(2.56852724304+0.103904299328j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
(836.05871582-60.3463439941j);(323.595703125-35.8383483887j);(2.57274914962+0.0984461043179j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
(836.410095215-62.1294250488j);(323.544891357-33.5556297302j);(2.57733695711+0.0752746843619j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
(836.412353516-63.0698318481j);(325.014709473-33.9652862549j);(2.56571885026+0.0740752422857j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
(834.185974121-62.6063537598j);(327.35925293-33.5015602112j);(2.54118540133+0.0688152901408j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
(834.311401367-66.5424575806j);(324.90423584-30.6784210205j);(2.56434416097+0.0373266054832j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
(834.690734863-39.5045318604j);(328.340118408-28.6956100464j);(2.53331824091+0.101085973487j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
(835.280578613-43.5047531128j);(326.030090332-24.0527515411j);(2.55789636314+0.0552700290931j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
(833.14050293-40.9753684998j);(329.726379395-26.1834716797j);(2.52073606399+0.0759000626208j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
(832.744934082-43.0949287415j);(329.216918945-25.330406189j);(2.52459803216+0.0633447544064j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
(832.320556641-42.7361907959j);(330.20010376-24.2568187714j);(2.51658196888+0.0554454154864j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
(831.72064209-44.3166427612j);(332.606445312-24.033405304j);(2.49720421778+0.0472019666265j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
(831.658752441-2.68094062805j);(331.938476562-9.056599617j);(2.50381701626+0.0602374506551j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
(828.976318359-3.04510307312j);(333.677398682-9.63301563263j);(2.48255901351+0.0625437227555j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
(829.184997559-3.592420578j);(336.048370361-7.35147666931j);(2.4665107419+0.0432678057032j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
(827.632446289-2.08135604858j);(337.467468262-8.64273643494j);(2.45103100066+0.0566047417323j);(0.166464697572-0.126862680472j);(0.0836348356083-0.00122740280949j);0.0569987938629;0.0825010076442
